reviewId,content,score,at,replyContent
67738d27-dddf-4649-b529-7420c3c50731,막연하게 투자어플들을 여러가지 깔고 사용해봤는데 그중에서도 투린이도 가볍게 이용할수있었던 어플이라 리뷰남깁니다! 맞춤형 투자나 테마형 투자로 나뉘어져 원하는 입맛대로 투자른 해볼수 있습니다 다만 아쉬웠던건 소액으로 투자해볼수있는 기능이 없는것같아서 처음부터 목돈으로 시작하기에는 살짝 부담스러운감이 있었네요 이부분만 수정되면 앞으로도 더 잘사용할수있을것같아요 좋은앱 감사합니다 번창하세요,4,2021-09-23 15:50:19,"안녕하세요 이효민님, 쿼터백입니다.

쿼터백의 글로벌 ETF 분산투자 기반 인공지능 자산관리 서비스는 고객님들의 투자 성향을 고려하여 맞춤형부터 테마형까지 다양한 글로벌 ETF 포트폴리오를 제공하고 있습니다.

또한 쿼터백 자산관리 솔루션에서 도출되는 가장 최적화된 ETF 구성을 위해 포트폴리오 별 최저 가입 금액을 제안 드리고 있습니다.

가입 금액이 낮을 경우, 그만큼 포트폴리오를 구성하는 글로벌 ETF 종목 수가 적어지기 때문에 포트폴리오의 효율성을 고려한 최저 금액으로 조정했습니다.

제안 주신 금액 조정 의견도 긍정적으로 고려하여 내부 기술 개발에 감사히 참고하도록 하겠습니다. 힘이 되는 리뷰 감사합니다."
833ea0ee-c44f-4b36-966c-efc2897d30f2,작년에 지인 소개로 가입하고 상품운용중인데 너무 만족스럽네요. 전 시간적여력이 많지 않아서 믿고 운용을 맡길수있는곳을 찾던중에 가입하게 되었는데 수익률도 만족스럽고(후기라 자세히는 밝힐수없지만;;) 질문에대한 답변도 빠르고 꼼꼼히 설명해주시네요. UX.UI는 단연 최고인거 같습니다. 현재 수익률도 만족스러워서 1년 종료되면 유지 할 예정입니다.^^,5,2021-01-26 16:38:20,"이용해주셔서 감사합니다.
고객님의 편의와 수익을 위해 앞으로도 열심히 노력하겠습니다."
1ac4b526-e39b-42ff-98d2-661122684f98,"믿고쓸수 있는 자산관리어플 자고일어나면 쏟아지는 돈이야기 머니 싫어하는사람 없기 때문일겁니다 그런데 문제는 그정보 믿을 수 있겠느냐 하는거겠죠 남들보다 한발빠르게 신속한, 믿을 쓸 수 있는 신뢰성, 보다 나은 선택은 쿼터백이었습니다 내용좋고 인터페이스 뛰어나 사용하기 편하니 안쓸 이유가 없죠",5,2021-09-23 22:16:22,"안녕하세요 김가영님, 쿼터백입니다. 저희가 고객님에게 다가가고 싶은 방향성을 정말 잘 짚어주신 것 같아서 감사하다는 말씀 전하고 싶습니다. 가영님께서 말씀하신 것처럼 자산관리를 위한 정보는 우리 주위에 정말 많이 존재합니다. 하지만 그렇기 때문에 그 정보들이 정말 믿을 수 있는 정보인가, 얼마나 객관적인 정보인가를 판단하는 것이 무엇보다 중요하다고 생각합니다. 쿼터백은 가영님을 둘러싼 수많은 정보 속에서도 자산관리에 실질적으로 도움이 될 수 있는 양질의 콘텐츠를 엄선하여 제공할 수 있도록 항상 노력하겠습니다. 긍정적인 리뷰 감사드립니다."
54bd98eb-71a0-4d75-8d70-6746b07a68c7,처음부터 만족하기 쉽지않은데 쉬운 깔끔한 인터페이스가 계속 쓰게 만드는거 같아요. ai 따라가다 보면 저도 모르게 많은걸 스스로 배우게 되서 너무 만족합니다 최고자산관리앱 쿼터백 추천해요,5,2021-09-29 22:26:53,"안녕하세요 신우성님, 쿼터백입니다. 투자를 모르는 분들도 쉽게 사용하실 수 있도록 만들어진 모바일 자산관리 서비스입니다. 앞으로도 만족하실 수 있도록 양질의 서비스 제공을 위해 최선을 다하겠습니다. 힘이 되는 리뷰 감사합니다!"
a92c361a-0bb0-4737-b6df-4ca091ea76d0,"믿쓰쿼(믿고 쓰는 쿼터백) 자산관리앱 중에서 진입장벽이 높고 어려운 앱들이 많아서 정착못하고 있었는데, 쿼터백 앱은 사용도 편리하고 처음 입문하는 분들에게도 추천하기 좋더라구요. 완전 추천!",5,2021-09-02 11:12:03,안녕하세요 김아미님! 쿼터백입니다. 앞으로도 아미님께서 선물해주신 '믿쓰쿼'라는 이름을 유지하기 위해 늘 최선을 다하겠습니다. 응원의 한마디 감사드립니다 :)
ee443549-1d45-417f-80e3-c4bdb4de322a,"아 진짜 짜증나 죽을것같네요 일단 신분증 인식을 못해서 가입을 못했네요 혹시몰라 면허증도 해봤으나 안되구요 4~5번 재촬영하면 그후엔 아예 어플에서 초점이 안잡혀 인증번호단계부터 다시해야하구요 다시해도 자꾸 이름만 인식을 못해서 결국 계좌개설에 실패했습니다 핀x, 파운x 도 쓰고있지만 이런적 한번도없었습니다. 그냥 기존에 쓰던 어플에 돈투자할랍니다",1,2021-08-02 19:27:39,"안녕하세요, 고객님 쿼터백입니다. 쿼터백의 자산관리 서비스 가입을 위해 소중한 시간을 들여 계좌 개설을 수차례 시도해 주셨으나, 신분증 인증 실패로 인하여 불편함을 겪게 해드린 점 진심으로 사과 말씀드립니다. 고객님이 겪으신 불편함에 저희도 크게 공감하며, 인식 오류 발생 가능성을 낮추기 위하여 해당 인증 절차를 설계한 KB증권과 기술적 개선을 위하여 지속적으로 노력하고 있습니다. 다시 한번 쿼터백의 자산관리 서비스를 선택해 주신 고객님께 감사드리며, 가입 지연에 대한 사과의 말씀을 한 번 더 드립니다. 쿼터백 올림"
7fee1c7e-5c5b-4d06-8600-6b9e99c4dbca,처음 투자하는거라 무서웠는데~수익율보니 뿌듯합니다. 가장 공격적으로 투자했더니 ㅋ 하이리스크 하이리턴이 맞나봐요. 주식은 잘 몰라서 ㅋ쿼터백 소개받고 가입했더니 잘한 것 같아요. 지금까지 왜 예금을 했는지ㅡㅡㅋ바보였네요 지금 적금 깨러 갑니다ㅋ,5,2021-01-26 13:55:27,"이용해주셔서 감사합니다.
고객님의 편의와 수익을 위해 앞으로도 열심히 노력하겠습니다."
fb699cd4-2209-404d-b125-362c39f20c87,"쿼터백 고객센터의 헌신적인 노력으로 결국 (지난 금요일에) 신분증 인식, 계좌개설을 잘 마쳤기에 리뷰를 update합니다. 다만, USD로 입금이 안 되는 점은 몰랐었고, 아쉽네요. 신분증인식오류에 대처하여 앱 프로그램을 업데이트한 유연한 조치에 칭찬말씀을 보냅니다. 그리고 쿼터백 고객센터 직원의 친절하고 성의있는 태도에 감탄했습니다. 쿼터백이 B2B마켓에서 기업고객들로부터 인정받고 있다는 것도 이번에 알게 되었네요. 쿼터백의 번영을 바랍니다. --------------------------------------------------------------------------- 쿼터백 앱 내에서, 계좌개설하려고, 어제 30분, 오늘 30분 이틀동안 1시간을 투자하며 주민등록증을 촬영했지만, 인식불가 또는 진위내용없음으로 계속 오류가 나서, 결국 개설포기합니다. (고객센터에서는 앱에 이상없다며 어두운 곳에 놓고 잘 찍어보라 하는군요. 그러나, 다른 앱에서는 개설 잘 됩니다.)",4,2021-07-05 23:45:49,"안녕하세요, 고객님 쿼터백입니다.

쿼터백의 자산관리 서비스 가입을 위해 소중한 시간을 들여 계좌 개설을 수차례 시도해 주셨으나, 신분증 인증 실패로 인하여 불편함을 겪게 해드린 점 진심으로 사과 말씀드립니다.

고객님이 겪으신 불편함에 저희도 크게 공감하며, 인식 오류 발생 가능성을 낮추기 위하여 해당 인증 절차를 설계한 KB증권과 기술적 개선을 위하여 지속적으로 노력하고 있습니다.

다시 한번 쿼터백의 자산관리 서비스를 선택해 주신 고객님께 감사드리며, 가입 지연에 대한 사과의 말씀을 한 번 더 드립니다.

쿼터백 올림"
8544efae-750a-41a5-846f-bc4d66073022,세련된 디자인과 깔끔하게 잘 정리된 메뉴 구성으로 원하는 항목을 쉽게 검색 할 수 있게 되어 편하게 이용 할 수 있어서 정말 좋아요 ~~ ​,5,2021-09-30 15:57:28,"안녕하세요 박창식님, 쿼터백입니다. 쿼터백은 자산관리에 도움이 되는 필수 기능만 알차게 모아 양질의 모바일 자산관리 서비스를 제공해드리는 앱입니다. 앞으로도 쿼터백과 함께 마음 편한 투자의 즐거움을 느껴보시길 바랍니다. 힘이 되는 리뷰 감사합니다!"
844a0ffb-07dd-4812-a5b9-106aa9c143b4,쉬운 깔끔한 인터페이스가 계속 쓰게 만드는거 같아요. ai 따라가다 보면 저도 모르게 많은걸 저절로 배우게됩니다 최고자산관리앱 쿼터백 추천해요,5,2021-09-23 15:32:25,"안녕하세요 노승탁님, 쿼터백 입니다. 쿼터백은 누구나 마음 편히 투자할 수 있도록 꼭 필요한 기능만 넣어 만들어진 인공지능 (AI) 자산관리 앱입니다. 앞으로도 양질의 서비스 제공을 위해 최선을 다하겠습니다. 응원의 한 마디 감사드립니다!"
